Name,Trial #,Gray Level (0-255),Reaction (ms)
Josh 6,32,255,348
Josh 6,33,192,320
Josh 6,34,128,410
Josh 6,35,224,280
Josh 6,36,160,367
Josh 6,37,128,365
Josh 6,38,64,348
Josh 6,39,32,384
Josh 6,40,255,423
Josh 7,1,192,261
Josh 7,2,128,229
Josh 7,3,64,266
Josh 7,4,255,224
Josh 7,5,192,217
Josh 7,6,64,236
Josh 7,7,32,449
Josh 7,8,64,218
Josh 7,9,160,426
Josh 7,10,96,210
Josh 7,11,128,220
Josh 7,12,224,245
Josh 7,13,96,246
Josh 7,14,160,237
Josh 7,15,128,279
Josh 7,16,224,243
Josh 7,17,96,245
Josh 7,18,32,220
Josh 7,19,128,284
Josh 7,20,160,262
Josh 7,21,160,212
Josh 7,22,224,308
Josh 7,23,32,285
Josh 7,24,32,291
Josh 7,25,192,226
Josh 7,26,224,286
Josh 7,27,128,217
Josh 7,28,32,229
Josh 7,29,255,273
Josh 7,30,192,235
Josh 7,31,224,229
Josh 7,32,255,365
Josh 7,33,96,253
Josh 7,34,96,237
Josh 7,35,64,214
Josh 7,36,255,213
Josh 7,37,255,239
Josh 7,38,64,197
Josh 7,39,192,220
Josh 7,40,160,176
Nathan 1,1,255,359
Nathan 1,2,32,433
Nathan 1,3,255,357
Nathan 1,4,128,635
Nathan 1,5,32,292
Nathan 1,6,32,506
Nathan 1,7,224,888
Nathan 1,8,192,245
Nathan 1,9,192,458
Nathan 1,10,224,474
Nathan 1,11,160,288
Nathan 1,12,224,824
Nathan 1,13,160,397
Nathan 1,14,32,434
Nathan 1,15,255,375
Nathan 1,16,255,439
Nathan 1,17,64,433
Nathan 1,18,128,183
Nathan 1,19,255,455
Nathan 1,20,128,625
Nathan 1,21,64,495
Nathan 1,22,64,598
Nathan 1,23,192,474
Nathan 1,24,96,375
Nathan 1,25,64,529
Nathan 1,26,96,535
Nathan 1,27,64,363
Nathan 1,28,96,266
Nathan 1,29,160,496
Nathan 1,30,224,500
Nathan 1,31,192,337
Nathan 1,32,128,516
Nathan 1,33,192,618
Nathan 1,34,160,743
Nathan 1,35,224,343
Nathan 1,36,96,468
Nathan 1,37,96,547
Nathan 1,38,128,559
Nathan 1,39,160,375
Nathan 1,40,32,457
Nathan 2,1,160,531
Nathan 2,2,160,783
Nathan 2,3,224,603
Nathan 2,4,192,279
Nathan 2,5,64,350
Nathan 2,6,96,322
Nathan 2,7,224,541
Nathan 2,8,192,675
Nathan 2,9,224,715
Nathan 2,10,192,671
Nathan 2,11,32,576
Nathan 2,12,255,480
Nathan 2,13,255,450
Nathan 2,14,32,324
Nathan 2,15,96,227
Nathan 2,16,96,447
Nathan 2,17,192,284
Nathan 2,18,64,820
Nathan 2,19,192,478
Nathan 2,20,224,402
Nathan 2,21,160,418
Nathan 2,22,255,564
Nathan 2,23,224,197
Nathan 2,24,255,652
Nathan 2,25,128,271
Nathan 2,26,32,575
Nathan 2,27,32,563
Nathan 2,28,160,321
Nathan 2,29,64,758
Nathan 2,30,64,537
Nathan 2,31,128,945
Nathan 2,32,128,339
Nathan 2,33,96,468
Nathan 2,34,128,544
Nathan 2,35,96,507
Nathan 2,36,32,292
Nathan 2,37,64,693
Nathan 2,38,160,578
Nathan 2,39,255,168
Nathan 2,40,128,282
Nathan 3,1,255,428
Nathan 3,2,160,619
Nathan 3,3,160,768
Nathan 3,4,224,393
Nathan 3,5,64,434
Nathan 3,6,128,619
Nathan 3,7,96,597
Nathan 3,8,255,549
Nathan 3,9,32,294
Nathan 3,10,96,501
Nathan 3,11,192,377
Nathan 3,12,64,411
Nathan 3,13,192,472
Nathan 3,14,192,440
Nathan 3,15,64,547
Nathan 3,16,96,431
Nathan 3,17,224,539
Nathan 3,18,32,414
Nathan 3,19,160,508
Nathan 3,20,255,381
Nathan 3,21,128,335
Nathan 3,22,160,631
Nathan 3,23,255,486
Nathan 3,24,224,468
Nathan 3,25,224,496
Nathan 3,26,128,446
Nathan 3,27,192,447
Nathan 3,28,128,345
Nathan 3,29,192,591
Nathan 3,30,224,356
Nathan 3,31,64,345
Nathan 3,32,32,475
Nathan 3,33,128,390
Nathan 3,34,32,963
Nathan 3,35,64,746
Nathan 3,36,96,373
Nathan 3,37,32,545
Nathan 3,38,255,412
Nathan 3,39,160,296
Nathan 3,40,96,406
Nathan 4,1,128,305
Nathan 4,2,224,301
Nathan 4,3,96,360
Nathan 4,4,255,280
Nathan 4,5,224,264
Nathan 4,6,64,316
Nathan 4,7,192,336
Nathan 4,8,96,355
Nathan 4,9,64,320
Nathan 4,10,224,244
Nathan 4,11,160,311
Nathan 4,12,192,315
Nathan 4,13,255,641
Nathan 4,14,32,497
Nathan 4,15,64,290
Nathan 4,16,192,320
Nathan 4,17,128,251
Nathan 4,18,160,387
Nathan 4,19,96,280
Nathan 4,20,192,274
Nathan 4,21,64,261
Nathan 4,22,64,289
Nathan 4,23,224,718
Nathan 4,24,96,298
Nathan 4,25,128,311
Nathan 4,26,255,284
Nathan 4,27,32,295
Nathan 4,28,32,327
Nathan 4,29,255,255
Nathan 4,30,224,279
Nathan 4,31,96,287
Nathan 4,32,128,272
Nathan 4,33,32,332
Nathan 4,34,160,285
Nathan 4,35,160,280
Nathan 4,36,128,290
Nathan 4,37,192,314
Nathan 4,38,32,334
Nathan 4,39,255,337
Nathan 4,40,160,294
Nathan 5,1,128,306
Nathan 5,2,255,310
Nathan 5,3,192,327
Nathan 5,4,32,477
Nathan 5,5,96,403
Nathan 5,6,160,312
Nathan 5,7,32,387
Nathan 5,8,96,349
Nathan 5,9,192,293
Nathan 5,10,255,327
Nathan 5,11,96,334
Nathan 5,12,32,455
Nathan 5,13,224,322
Nathan 5,14,224,396
Nathan 5,15,160,345
Nathan 5,16,32,414
Nathan 5,17,64,370
Nathan 5,18,224,362
Nathan 5,19,192,393
Nathan 5,20,32,434
Nathan 5,21,255,313
Nathan 5,22,160,300
Nathan 5,23,128,335
Nathan 5,24,224,299
Nathan 5,25,255,269
Nathan 5,26,224,360
Nathan 5,27,192,318
Nathan 5,28,128,381
Nathan 5,29,64,369
Nathan 5,30,64,331
Nathan 5,31,160,350
Nathan 5,32,192,393
Nathan 5,33,96,432
Nathan 5,34,128,367
Nathan 5,35,160,344
Nathan 5,36,255,346
Nathan 5,37,64,78
Nathan 5,38,96,321
Nathan 5,39,128,331
Nathan 5,40,64,296
